Model;ThinkPad Hybrid USB-C + USB-A Dock;ThinkPad USB-C Dock-EU Gen 2;ThinkPad Ultra Dock - 90W;ThinkPad Pro Dock - 90W;ThinkPad Ultra Dock - 135W;ThinkPad Ultra Dock 170W;Lenovo Ultra dock - 135W;Lenovo Pro dock - 135W;Lenovo ThinkPad Workstation P50-70 Dock 230W;Lenovo Thunderbolt 3 Dock Gen2 - 135W;Lenovo Thunderbolt 3 dock 1 Gen - 170W;Lenovo Thunderbolt 3 dock 1 Gen - 230W;Lenovo Thunderbolt 3 dock 2 Gen - 230W;Lenovo USB 3.0 Pro dock;Lenovo USB 3.0 Ultra dock;ThinkPad OneLink Dock - Midnight Black- EU1;Lenovo ThinkPad OneLink Pro Dock (EU);ThinkPad OneLink+ Dock-EU;Model
w540;;;;;;40A20170;;;;;;;;40A70045;40A80045;;;;w540
w541;;;;;;40A20170;;;;;;;;40A70045;40A80045;;;;w541
X1 Carbon 1st Gen;;;;;;;;;;;;;;40A70045;40A80045;;;;X1 Carbon 1st Gen
X1 Carbon 2st Gen;;;;;;;;;;;;;;40A70045;40A80045;4X10A060;4X10E529;;X1 Carbon 2st Gen
X1 Carbon 3st Gen;;;;;;;;;;;;;;40A70045;40A80045;4X10A060;4X10E529;;X1 Carbon 3st Gen
X1 Carbon 4st Gen;;;;;;;;;;;;;;40A70045;40A80045;;;40A40090;X1 Carbon 4st Gen
X1 Carbon 5st Gen;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;X1 Carbon 5st Gen
X1 Carbon 6st Gen;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;X1 Carbon 6st Gen
X1 Carbon 7st Gen;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;X1 Carbon 7st Gen
X1 Extreme 1th Gen;40AF0135;;;;;;;;;;40AN0170;40AN0230;;40A70045;40A80045;;;;X1 Extreme 1th Gen
X1 Extreme 2th Gen;;;;;;;;;;;40AN0170;40AN0230;;40A70045;40A80045;;;;X1 Extreme 2th Gen
X1 Tablet 1gen;;;;;;;;;;;;;;40A70045;40A80045;;;40A40090;X1 Tablet 1gen
X1 Tablet 2gen;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;40A40090;X1 Tablet 2gen
X1 Tablet 3gen;40AF0135;40AS0090;;;;;;;;;;;;40A70045;40A80045;;;;X1 Tablet 3gen
X1 Yoga 1st Gen;;;;;;;;;;;;;;40A70045;40A80045;;;40A40090;X1 Yoga 1st Gen
X1 Yoga 2st Gen;40AF0135;40AS0090;;;;;;;;40AN0135;;;;40A70045;40A80045;;;;X1 Yoga 2st Gen
X1 Yoga 3st Gen;40AF0135;40AS0090;;;;;;;;40AN0135;;;;40A70045;40A80045;;;;X1 Yoga 3st Gen
P1 1st Gen;;;;;;;;;;;40AN0170;40AN0230;;40A70045;40A80045;;;;
P1 2st Gen;;40AS0090;;;;;;;;;40AN0170;40AN0230;;40A70045;40A80045;;;;
X240;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;X240
X250;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;X250
X260;;;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;X260
X270;40AF0135;40AS0090;40A20090;40A10090;40A20135;40A20170;;;;;;;;40A70045;40A80045;;;;X270
X280;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;X280
X380 Yoga;;;;;;;;;;;;;;40A70045;40A80045;;;;X380 Yoga
X390;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;;;;;40A70045;40A80045;;;;X390
X390 Yoga;40AF0135;40AS0090;;;;;40AJ0135;40AH0135;;40AN0135;;;;40A70045;40A80045;;;;X390 Yoga
Yoga 260;;;;;;;;;;;;;;40A70045;40A80045;;;40A40090;Yoga 260
Yoga 370;40AF0135;40AS0090;;;;;;;;;;;;;;;;;Yoga 370
Yoga460;;;;;;;;;;;;;;;;;;40A40090;Yoga460
